channel_id,channel_name,category,funnel_role,tags,cost_model,notes
google_ads_search,Google Ads — Search,paid_acquisition,awareness,industry:hospitality;sub_vertical:short_term_rental;geography:global;intent:high;match_type:keyword,cpc,Direct-intent buyers searching "playa del carmen rental"; high cost low volume
google_ads_pmax,Google Performance Max,paid_acquisition,awareness,industry:hospitality;sub_vertical:short_term_rental;geography:global;intent:mixed;match_type:audience_signals,cpa,AI-driven multi-surface; less control but higher reach
google_ads_display,Google Display Network,paid_acquisition,awareness,industry:hospitality;sub_vertical:short_term_rental;geography:global;intent:low;match_type:placement_audience,cpm,Retargeting + interest-based; cheap CPM strong for retargeting
google_hotel_ads,Google Hotel Ads,paid_acquisition,booking,industry:hospitality;sub_vertical:short_term_rental;geography:global;intent:purchase;match_type:meta_aggregator,cpc_or_commission,Meta-aggregator surface; competes against OTAs on rate parity
meta_ads_feed,Meta Ads — Feed,paid_acquisition,awareness,industry:hospitality;sub_vertical:short_term_rental;geography:global;intent:passive;platform:facebook;platform:instagram,cpm,Visual-heavy; Carmen Beach property photo sets convert well; Instagram skews younger
meta_ads_reels,Meta Ads — Reels,paid_acquisition,awareness,industry:hospitality;sub_vertical:short_term_rental;geography:global;intent:passive;platform:instagram;format:video,cpm,Short-form video; high engagement low intent
meta_ads_marketplace,Meta Ads — Marketplace,paid_acquisition,consideration,industry:hospitality;sub_vertical:short_term_rental;geography:local;intent:browse;platform:facebook,cpc,Direct rental browsing; near-direct competition with Airbnb
tiktok_ads,TikTok Ads,paid_acquisition,awareness,industry:hospitality;sub_vertical:short_term_rental;geography:global;intent:passive;format:video;audience:gen_z_millennial,cpm,Travel-inspiration content; high reach low intent; conversion lag long
youtube_ads,YouTube Ads,paid_acquisition,awareness,industry:hospitality;sub_vertical:short_term_rental;geography:global;intent:research;format:video,cpv,Pre-roll + skippable; property tours + neighborhood content
pinterest_ads,Pinterest Ads,paid_acquisition,consideration,industry:hospitality;sub_vertical:short_term_rental;geography:global;intent:planning;format:visual,cpc,Travel-planning skew; high female demo; long booking window
seo_organic,SEO — Organic Search,organic_acquisition,awareness,industry:hospitality;sub_vertical:short_term_rental;geography:global;intent:high;channel:owned,opportunity_cost,Compounding asset; long ramp; cornerstone for direct
seo_local,SEO — Local + Maps,organic_acquisition,booking,industry:hospitality;sub_vertical:short_term_rental;city:playa_del_carmen;intent:local_purchase;channel:owned,opportunity_cost,Google Business Profile + map pack; review density compounds
content_blog,Content Marketing — Blog,owned_media,awareness,industry:hospitality;sub_vertical:short_term_rental;geography:global;intent:research;channel:owned;format:text,opportunity_cost,Top-of-funnel; SEO compounding; Playa neighborhood guides + activity content
content_video,Content Marketing — Video,owned_media,consideration,industry:hospitality;sub_vertical:short_term_rental;geography:global;intent:research;channel:owned;format:video,production_cost,Property walkthroughs + drone + neighborhood; YouTube + Instagram + TikTok
email_newsletter,Email — Newsletter,owned_media,retention,industry:hospitality;sub_vertical:short_term_rental;geography:global;audience:past_guests;channel:owned;format:email,per_message,Re-engagement + seasonal offers; via SendGrid
email_transactional,Email — Transactional,communication,booking,industry:hospitality;sub_vertical:short_term_rental;geography:global;audience:active_booking;channel:owned;format:email;criticality:high,per_message,Confirmations + pre-arrival info + post-stay; via SendGrid
sms_marketing,SMS — Marketing,owned_media,retention,industry:hospitality;sub_vertical:short_term_rental;geography:global;audience:opted_in;channel:owned;format:sms;regulation:tcpa,per_message,Twilio; high open rate; STOP-compliance required
sms_transactional,SMS — Transactional,communication,during_stay,industry:hospitality;sub_vertical:short_term_rental;geography:global;audience:guest;channel:owned;format:sms;criticality:high,per_message,Check-in codes + urgent updates; Twilio; verified sender
whatsapp_business,WhatsApp Business,communication,consideration,industry:hospitality;sub_vertical:short_term_rental;country:mexico;geography:latam;audience:prospect_or_guest;channel:owned;format:chat,per_session,Critical for Mexico market; Meta Business API; template messaging
phone_voice,Direct Voice — Phone,communication,booking,industry:hospitality;sub_vertical:short_term_rental;geography:global;audience:high_intent;channel:owned;format:voice,per_minute,Twilio or VoIP; high-touch closings; concierge-tier service
referral_program,Referral — Past Guest,direct,advocacy,industry:hospitality;sub_vertical:short_term_rental;geography:global;audience:past_guests;channel:owned;mechanism:reward,reward_per_booking,Reward both referrer + referee; Carmen Beach affiliate program lives here
affiliate_program,Affiliate — 3rd Party,partner,booking,industry:hospitality;sub_vertical:short_term_rental;geography:global;mechanism:revenue_share;tier:affiliate,commission_per_booking,External partners (travel bloggers + concierges); per affiliate_org_tier_policy
loyalty_program,Loyalty — Repeat Guest,direct,retention,industry:hospitality;sub_vertical:short_term_rental;geography:global;audience:past_guests;channel:owned;mechanism:tier,points_or_discount,Stay-frequency rewards; tier-based perks
gmb_reviews,Google Business Profile,reputation,consideration,industry:hospitality;sub_vertical:short_term_rental;city:playa_del_carmen;channel:owned;mechanism:review_solicitation,opportunity_cost,Local search visibility; review velocity compounds
tripadvisor_reviews,TripAdvisor Reviews,reputation,consideration,industry:hospitality;sub_vertical:short_term_rental;geography:global;channel:partial_owned;mechanism:review_solicitation,opportunity_cost,Traveler-trust signal; FlipKey legacy listings cross-listed
trustpilot_reviews,Trustpilot,reputation,consideration,industry:hospitality;sub_vertical:short_term_rental;geography:global;channel:partial_owned;mechanism:review_solicitation,opportunity_cost,B2B trust signal; matters more for direct-bookings + corporate clients
airbnb_listing,Airbnb — Listing Channel,booking_ota,booking,industry:hospitality;sub_vertical:short_term_rental;geography:global;channel:ota;regime:ota_commission,commission_pct,See 05_Economics.csv airbnb_host_service_fee_pct
vrbo_listing,Vrbo — Listing Channel,booking_ota,booking,industry:hospitality;sub_vertical:short_term_rental;geography:global;channel:ota;regime:ota_commission,commission_pct,See 05_Economics.csv vrbo_commission_pct
booking_com_listing,Booking.com — Listing Channel,booking_ota,booking,industry:hospitality;sub_vertical:short_term_rental;geography:global;channel:ota;regime:ota_commission,commission_pct,See 05_Economics.csv booking_com_commission_pct_global_avg
direct_website,Direct — Own Website,direct,booking,industry:hospitality;sub_vertical:short_term_rental;city:playa_del_carmen;channel:owned;regime:direct,opportunity_cost,playadelcarmen.homes — primary direct funnel; zero OTA commission
chatbot_ai,AI Chatbot — Concierge,communication,consideration,industry:hospitality;sub_vertical:short_term_rental;geography:global;channel:owned;mechanism:llm_assistant,per_llm_call,Gigaton AI concierge; routes to PPEME pricing + booking decision
remarketing_pixel,Retargeting Pixel,paid_acquisition,consideration,industry:hospitality;sub_vertical:short_term_rental;geography:global;audience:site_visitors;mechanism:pixel_remarketing,cpm,Meta + Google retargeting; recovers abandoned-search visitors
chat_widget_site,On-site Chat Widget,communication,consideration,industry:hospitality;sub_vertical:short_term_rental;geography:global;channel:owned;mechanism:live_or_ai_chat,per_session,Intercom-or-equivalent; supplements concierge AI
partner_relocation_b2b,Partner — Relocation B2B,b2b_channel,booking,industry:hospitality;sub_vertical:short_term_rental;sub_vertical:executive_housing;geography:global;mechanism:contract_partner;audience:corporate_relocation,commission_or_contracted,Long-stay corporate placements; longer LOS + higher AOV
expedia_listing,Expedia — Listing Channel,booking_ota,booking,industry:hospitality;sub_vertical:short_term_rental;geography:global;channel:ota;regime:ota_commission,commission_pct,Lower share for STR vs hotel; useful for biz traveler segment
agoda_listing,Agoda — Listing Channel,booking_ota,booking,industry:hospitality;sub_vertical:short_term_rental;geography:global;channel:ota;regime:ota_commission;market_skew:apac,commission_pct,APAC source-market skew; useful for diversification
airbnb_friends_family_share,Direct — Social Share,direct,booking,industry:hospitality;sub_vertical:short_term_rental;geography:global;channel:owned;mechanism:user_generated_share,opportunity_cost,Past guests share listing to private networks; near-zero CAC
podcast_sponsorship,Podcast Sponsorship,paid_acquisition,awareness,industry:hospitality;sub_vertical:short_term_rental;geography:global;intent:brand;format:audio,flat_fee_per_episode,Travel + remote-work podcasts; digital nomad segment
influencer_partnership,Influencer Partnership,paid_acquisition,awareness,industry:hospitality;sub_vertical:short_term_rental;geography:global;intent:brand;format:social;mechanism:sponsored_content,flat_fee_or_revshare,Travel creators on Instagram + TikTok; hosted-stay model common
